"language_code","term","language_name","term_source","wikipedia_translated_term","coding_dh_date","exclude_google_cloud_translate","gt_translated_term","exclude_easynmt","enmt_translated_term","exclude_lingvanex","lingvanex_translated_term","exclude_ollama","ollama_system_prompt","ollama_user_prompt","ollama_content","ollama_model","ollama_created_at","ollama_total_duration","ollama_load_duration","ollama_prompt_eval_count","ollama_prompt_eval_duration","ollama_eval_count","ollama_eval_duration","ollama_done_reason","ollama_translated_term","ollama_translation_rationale","ollama_extracted_dictionaries","ollama_translation","coding_dh_date_x","coding_dh_date_y","family_name"
"krj","","Kinaray-a","Digital Humanities","","2026-04-19 14:20:33","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Kinaray-a (ISO code: krj). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Humañista Digitál"",
  ""translation_rationale"": ""Using a combination of loanwords and phonetic adaptation from English, 'Digital Humanities' is translated into Kinaray-a.""
}","llama3.1","2026-04-19T19:20:33.796398Z","980179000.0","82276500.0","76.0","333988834.0","48.0","549815584.0","stop","Humañista Digitál","Using a combination of loanwords and phonetic adaptation from English, 'Digital Humanities' is translated into Kinaray-a.","[]","","","","Austronesian languages"
"kri","","Krio","Digital Humanities","","2026-04-19 14:20:30","False","Dijital Yumanitis","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Krio (ISO code: kri). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Demokrati Humaniti si digital"", ""translation_rationale"": ""Combining the concept of digital humanities in English with the Krio language's usage of 'demokrati' for democracy and 'humaniti' for humanity, while keeping 'si digital' to signify its connection to technology.""}","llama3.1","2026-04-19T19:20:30.79161Z","1202093000.0","71845917.0","74.0","346496250.0","67.0","765227044.0","stop","Demokrati Humaniti si digital","Combining the concept of digital humanities in English with the Krio language's usage of 'demokrati' for democracy and 'humaniti' for humanity, while keeping 'si digital' to signify its connection to technology.","[{'translated_term': 'Demokrati Humaniti si digital', 'translation_rationale': ""Combining the concept of digital humanities in English with the Krio language's usage of 'demokrati' for democracy and 'humaniti' for humanity, while keeping 'si digital' to signify its connection to technology.""}]","Demokrati Humaniti si digital","","","Creoles and pidgins"
"kpy","","Koryak","Digital Humanities","","2026-04-19 14:20:24","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Koryak (ISO code: kpy). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Kajygutu Akiti"", ""translation_rationale"": ""Composition of 'Digital' (kaji- ) and 'Humanities' (gutu akiti) in Koryak, using the Koryak suffix for composition (-uti), as well as the word for digital and humanities""}","llama3.1","2026-04-19T19:20:24.344653Z","1236175458.0","85059167.0","75.0","339757959.0","69.0","792024045.0","stop","Kajygutu Akiti","Composition of 'Digital' (kaji- ) and 'Humanities' (gutu akiti) in Koryak, using the Koryak suffix for composition (-uti), as well as the word for digital and humanities","[{'translated_term': 'Kajygutu Akiti', 'translation_rationale': ""Composition of 'Digital' (kaji- ) and 'Humanities' (gutu akiti) in Koryak, using the Koryak suffix for composition (-uti), as well as the word for digital and humanities""}]","Kajygutu Akiti","","","Chukotko-Kamchatkan languages"
"kpe","","Kpelle","Digital Humanities","","2026-04-19 14:20:21","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Kpelle (ISO code: kpe). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Digi-Kalakpaŋ"", ""translation_rationale"": ""Kpelle language equivalent to 'Digital Humanities' combines 'digi-' from the English term with 'kalakpaŋ', meaning 'scholarly knowledge' or 'learning' in Kpelle.""}","llama3.1","2026-04-19T19:20:21.081015Z","1175795541.0","79393708.0","75.0","348921542.0","65.0","728684623.0","stop","Digi-Kalakpaŋ","Kpelle language equivalent to 'Digital Humanities' combines 'digi-' from the English term with 'kalakpaŋ', meaning 'scholarly knowledge' or 'learning' in Kpelle.","[{'translated_term': 'Digi-Kalakpaŋ', 'translation_rationale': ""Kpelle language equivalent to 'Digital Humanities' combines 'digi-' from the English term with 'kalakpaŋ', meaning 'scholarly knowledge' or 'learning' in Kpelle.""}]","Digi-Kalakpaŋ","","","Niger-Kordofanian languages"
"kos","","Kosraean","Digital Humanities","","2026-04-19 14:20:17","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Kosraean (ISO code: kos). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Kaem ikrur,"" , ""translation_rationale"": ""Kosraean, a Micronesian language, uses the term 'kaem' for computer and 'ikrur' as an adjective meaning 'new' or 'modern', so 'Digital Humanities' is translated to 'Kaem Ikrur'""}","llama3.1","2026-04-19T19:20:17.878206Z","1269229542.0","84292333.0","74.0","332583291.0","72.0","832155580.0","stop","Kaem ikrur,","Kosraean, a Micronesian language, uses the term 'kaem' for computer and 'ikrur' as an adjective meaning 'new' or 'modern', so 'Digital Humanities' is translated to 'Kaem Ikrur'","[{'translated_term': 'Kaem ikrur,', 'translation_rationale': ""Kosraean, a Micronesian language, uses the term 'kaem' for computer and 'ikrur' as an adjective meaning 'new' or 'modern', so 'Digital Humanities' is translated to 'Kaem Ikrur'""}]","Kaem ikrur,","","","Austronesian languages"
"kok","","Konkani","Digital Humanities","","2026-04-19 14:20:14","False","डिजिटल मानवी शास्त्र","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Konkani (ISO code: kok). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Digitalear Shastreey"",
  ""translation_rationale"": ""Combining Konkani words for 'digital' (digitalear) and 'humanities' (shastreey)""
}","llama3.1","2026-04-19T19:20:14.58654Z","987519125.0","65182375.0","74.0","344505792.0","50.0","563514380.0","stop","Digitalear Shastreey","Combining Konkani words for 'digital' (digitalear) and 'humanities' (shastreey)","[]","","","","Indo-European languages"
"koi","","Komi-Permyak","Digital Humanities","","2026-04-19 14:20:11","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Komi-Permyak (ISO code: koi). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Меҥдін гуманитарийтэз"", ""translation_rationale"": ""Lithuanian loanword \""digiitalnye iskusstva\"" adapted into Komi-Permyak""}","llama3.1","2026-04-19T19:20:11.582952Z","1022937000.0","82403667.0","78.0","333518583.0","52.0","592012248.0","stop","Меҥдін гуманитарийтэз","Lithuanian loanword ""digiitalnye iskusstva"" adapted into Komi-Permyak","[{'translated_term': 'Меҥдін гуманитарийтэз', 'translation_rationale': 'Lithuanian loanword ""digiitalnye iskusstva"" adapted into Komi-Permyak'}]","Меҥдін гуманитарийтэз","","","Uralic languages"
"kmb","","Kimbundu","Digital Humanities","","2026-04-19 14:20:08","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Kimbundu (ISO code: kmb). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Munhu uka ulokwa wa dhaigala"", ""translation_rationale"": ""Combining 'munhu' (person/entity), 'uka' (of the digital kind) and 'ulokwa' (humanities or knowledge) with 'dhaigala' (digital), adapted from a similar expression in Portuguese 'Humanidades Digitais'""}","llama3.1","2026-04-19T19:20:08.537847Z","1358090708.0","78951875.0","76.0","325764291.0","81.0","931035914.0","stop","Munhu uka ulokwa wa dhaigala","Combining 'munhu' (person/entity), 'uka' (of the digital kind) and 'ulokwa' (humanities or knowledge) with 'dhaigala' (digital), adapted from a similar expression in Portuguese 'Humanidades Digitais'","[{'translated_term': 'Munhu uka ulokwa wa dhaigala', 'translation_rationale': ""Combining 'munhu' (person/entity), 'uka' (of the digital kind) and 'ulokwa' (humanities or knowledge) with 'dhaigala' (digital), adapted from a similar expression in Portuguese 'Humanidades Digitais'""}]","Munhu uka ulokwa wa dhaigala","","","Niger-Kordofanian languages"
"kjg","","Khmu","Digital Humanities","","2026-04-19 14:19:55","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Khmu (ISO code: kjg). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""saib niam huum wut"", ""translation_rationale"": ""literally 'human studies digital' or 'digital human sciences', following the pattern of combining English loanwords with Khmu roots and prefixes""}","llama3.1","2026-04-19T19:19:55.137457Z","1005212250.0","81122708.0","74.0","352936917.0","49.0","557397044.0","stop","saib niam huum wut","literally 'human studies digital' or 'digital human sciences', following the pattern of combining English loanwords with Khmu roots and prefixes","[{'translated_term': 'saib niam huum wut', 'translation_rationale': ""literally 'human studies digital' or 'digital human sciences', following the pattern of combining English loanwords with Khmu roots and prefixes""}]","saib niam huum wut","","","Austro-Asiatic languages"
"khq","","Koyra Chiini","Digital Humanities","","2026-04-19 14:19:38","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Koyra Chiini (ISO code: khq). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Kàràwèe ji ñaawooru"", ""translation_rationale"": ""Digital Humanities translated literally into Koyra Chiini, with 'ji' meaning 'human' or 'people', 'ñaa' meaning 'digital', and 'woor' related to study or knowledge""}","llama3.1","2026-04-19T19:19:38.900043Z","1227218708.0","82585000.0","77.0","336791792.0","69.0","788442620.0","stop","Kàràwèe ji ñaawooru","Digital Humanities translated literally into Koyra Chiini, with 'ji' meaning 'human' or 'people', 'ñaa' meaning 'digital', and 'woor' related to study or knowledge","[{'translated_term': 'Kàràwèe ji ñaawooru', 'translation_rationale': ""Digital Humanities translated literally into Koyra Chiini, with 'ji' meaning 'human' or 'people', 'ñaa' meaning 'digital', and 'woor' related to study or knowledge""}]","Kàràwèe ji ñaawooru","","","Nilo-Saharan languages"
"khb","","Lü","Digital Humanities","","2026-04-19 14:19:28","False","","False","","False","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Lü (ISO code: khb). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Khaṅmā khwŏn phāk"", ""translation_rationale"": ""Digital Humanities is 'Modern Studies' in Lü, using a combination of words that reflect the concept's focus on modern and digital aspects.""}","llama3.1","2026-04-19T19:19:28.889281Z","1107444209.0","85146417.0","74.0","360573833.0","56.0","646249747.0","stop","Khaṅmā khwŏn phāk","Digital Humanities is 'Modern Studies' in Lü, using a combination of words that reflect the concept's focus on modern and digital aspects.","[{'translated_term': 'Khaṅmā khwŏn phāk', 'translation_rationale': ""Digital Humanities is 'Modern Studies' in Lü, using a combination of words that reflect the concept's focus on modern and digital aspects.""}]","Khaṅmā khwŏn phāk","","","Tai languages"
